ID,Valid Landslide,Latitude,Longitude,CURVATURE,TWI,SLOPE_deg,DEM,ASPECT_deg,LANDCOVER_CODE,ASPECT_sin,ASPECT_cos
959,1,-36.799103,174.440608,0.0437378883361816,4.54449605941772,27.0227184295654,38.1395950317383,227.754669189453,4.0,-0.74027291803512,-0.672306482806591
960,1,-36.798857,174.440627,0.267201662063599,4.55267333984375,26.8335437774658,47.5148811340332,230.678604125977,4.0,-0.773603633340167,-0.633669802407289
961,1,-36.797846,174.440439,0.0488698482513428,5.17358922958374,24.3769874572754,65.2793350219727,226.009704589844,4.0,-0.71945744920197,-0.694536520845228
962,1,-36.797374,174.44,0.140166282653809,2.77411699295044,26.530029296875,70.5943298339844,201.486099243164,4.0,-0.366275483635235,-0.930506458917817
963,1,-36.797994,174.440187,0.027763843536377,5.35752153396606,26.1098117828369,56.2888298034668,222.865768432617,4.0,-0.680283087131081,-0.732949467128127
964,1,-36.797968,174.440003,-0.0832080841064453,5.55996608734131,26.2276210784912,52.6907424926758,221.813400268555,4.0,-0.666706803055836,-0.745320091476855
965,1,-36.797938,174.439872,-0.167930126190186,5.68812656402588,25.9926490783691,50.9167938232422,221.474182128906,4.0,-0.662282496372847,-0.749254225879407
966,1,-36.797754,174.439554,-0.255805253982544,4.47255802154541,28.7257022857666,50.0368270874023,221.050720214844,4.0,-0.656726866989846,-0.754128518340012
967,1,-36.79723,174.440813,-0.228416919708252,4.73397827148438,29.3643264770508,86.3351364135742,224.7119140625,4.0,-0.703542490973448,-0.710653194881214
968,1,-36.797611,174.440509,-0.171065330505371,5.12312126159668,23.2160720825195,71.8411560058594,227.041305541992,4.0,-0.731845176220133,-0.681470937049646
969,1,-36.798993,174.439433,-0.313645601272583,3.79753184318542,19.7388362884521,34.1169700622559,118.103485107422,4.0,0.882098214334843,-0.471065537125443
970,1,-36.798845,174.439433,-0.233209133148193,5.24941158294678,18.5743427276611,35.8881149291992,116.78946685791,4.0,0.892668691798414,-0.450713441870672
971,1,-36.798597,174.439278,-0.222432613372803,5.33184242248535,17.1946678161621,39.3527488708496,101.942352294922,4.0,0.978356294336709,-0.206927430109549
972,1,-36.797083,174.438404,-0.439858436584473,6.43181371688843,27.2506828308105,67.4212493896484,111.512130737305,4.0,0.930339951010581,-0.366698207731683
973,1,-36.796947,174.438834,-0.59167742729187,6.19178676605225,13.795482635498,59.3756484985352,135.47819519043,4.0,0.701180652207422,-0.712983655471831
974,1,-36.798206,174.438229,0.249862670898438,4.87657070159912,13.7089653015137,66.5088882446289,107.617202758789,4.0,0.953099839848987,-0.30265606764087
975,1,-36.797346,174.437015,0.0594854354858398,4.52108335494995,23.5133361816406,73.0875701904297,229.415054321289,4.0,-0.759442270405473,-0.65057469818721
