Area Maximum,Valid Landslide,Latitude,Longitude,X Coordinate,Y Coordinate
9,1,-36.926333,174.713269,1752593.22,5911928.84
9,1,-36.926383,174.712934,1752563.28,5911923.83
46,1,-36.925502,174.710452,1752343.97,5912025.51
46,1,-36.932849,174.685166,1750077.24,5911250.51
46,1,-36.932866,174.685042,1750066.1900000002,5911248.79
46,1,-36.932848,174.684813,1750045.81,5911251.18
46,1,-36.932826,174.684699,1750035.76,5911253.819999999
9,1,-36.932857,174.685461,1750103.52,5911249.149999999
46,1,-36.932836,174.685624,1750118.07,5911251.26
46,1,-36.932774,174.685902,1750142.94,5911257.609999999
46,1,-36.932749,174.685993,1750151.1400000001,5911260.26
46,1,-36.932862,174.686281,1750176.54,5911247.29
46,1,-36.932803,174.686395,1750186.86,5911253.64
46,1,-36.932791,174.686784,1750221.52,5911254.44
46,1,-36.932617,174.687259,1750264.12,5911272.96
46,1,-36.931663,174.690432,1750548.61,5911373.83
9,1,-36.931705,174.690726,1750574.71,5911368.6899999995
9,1,-36.931725,174.690664,1750569.1600000001,5911366.57
9,1,-36.931682,174.690815,1750582.6500000001,5911371.07
9,1,-36.931623,174.69147,1750641.12,5911376.619999999
9,1,-36.931619,174.69171,1750662.55,5911376.619999999
9,1,-36.931736,174.692079,1750695.1500000001,5911363.13
9,1,-36.931783,174.692282,1750713.1400000001,5911357.57
9,1,-36.931766,174.691979,1750686.1600000001,5911359.95
9,1,-36.931822,174.692375,1750721.35,5911353.07
9,1,-36.931829,174.692532,1750735.37,5911352.02
46,1,-36.932024,174.692899,1750767.6500000001,5911329.79
9,1,-36.93209,174.693237,1750797.58,5911321.96
225,1,-36.93221,174.693413,1750813.03,5911308.41
46,1,-36.93229,174.694071,1750871.45,5911298.46
46,1,-36.932389,174.694367,1750897.7,5911287.03
46,1,-36.932289,174.694952,1750949.98,5911297.1899999995
46,1,-36.931854,174.696156,1751058.03,5911343.48
46,1,-36.931854,174.699537,1751359.1900000002,5911338.21
46,1,-36.931711,174.699671,1751371.41,5911353.7700000005
225,1,-36.931341,174.701854,1751566.54,5911391.38
46,1,-36.927919,174.704011,1751765.45,5911767.609999999
46,1,-36.927975000000004,174.704141,1751776.96,5911761.26
46,1,-36.927407,174.702775,1751656.44,5911826.42
46,1,-36.927326,174.705034,1751857.74,5911831.79
46,1,-36.92825,174.708844,1752195.28,5911723.23
225,1,-36.928,174.709324,1752238.57,5911750.14
46,1,-36.927527,174.709273,1752234.92,5911802.68
46,1,-36.930626,174.711931,1752465.55,5911454.67
46,1,-36.930738,174.711921,1752464.44,5911442.29
9,1,-36.930999,174.711945,1752466,5911413.26
9,1,-36.931091,174.711977,1752468.6600000001,5911402.970000001
9,1,-36.929665,174.711885,1752463.37,5911561.35
9,1,-36.929558,174.711731,1752449.83,5911573.41
9,1,-36.933306,174.713335,1752585.2,5911155.05
46,1,-36.93352,174.714207,1752662.46,5911129.91
46,1,-36.933748,174.713784,1752624.37,5911105.31
225,1,-36.934044,174.713947,1752638.23,5911072.24
46,1,-36.934287,174.714286,1752668,5911044.7
46,1,-36.934845,174.715446,1752770.1400000001,5910980.98
9,1,-36.934816,174.71705,1752913.08,5910981.56
46,1,-36.935088,174.717926,1752990.55,5910950.02
46,1,-36.935659,174.719742,1753151.2,5910883.7700000005
46,1,-36.936335,174.720721,1753237.03,5910807.22
46,1,-36.936189,174.721386,1753296.49,5910822.2700000005
46,1,-36.936261,174.721333,1753291.62,5910814.39
9,1,-36.936459,174.721196,1753279.08,5910792.64
9,1,-36.936663,174.720942,1753256.06,5910770.41
46,1,-36.936407,174.721335,1753291.5,5910798.21
46,1,-36.93658,174.721336,1753291.3,5910778.99
46,1,-36.936603,174.72123,1753281.78,5910776.609999999
46,1,-36.937042,174.722068,1753355.52,5910726.53
46,1,-36.936536,174.722937,1753433.98,5910781.26
9,1,-36.936196,174.7233,1753466.96,5910818.42
46,1,-36.934665,174.724896,1753612.1800000002,5910985.78
46,1,-36.936645,174.722276,1753374.83,5910770.29
9,1,-36.934397,174.725643,1753679.26,5911014.25
9,1,-36.933112,174.728115,1753901.98,5911152.79
46,1,-36.933213,174.728387,1753926.06,5911141.149999999
9,1,-36.933338,174.728473,1753933.47,5911127.13
46,1,-36.934775,174.727532,1753846.75,5910969.2700000005
9,1,-36.934682,174.727849,1753875.1600000001,5910979.109999999
46,1,-36.935579,174.727961,1753883.32,5910879.430000001
46,1,-36.935838,174.727979,1753884.3800000001,5910850.59
0,1,-36.935299,174.728721,1753951.58,5910909.22
46,1,-36.935472,174.729034,1753979.1,5910889.49
225,1,-36.93517,174.72962,1754031.8800000001,5910922.03
46,1,-36.936253,174.728171,1753900.6500000001,5910804.29
46,1,-36.936867,174.728093,1753892.45,5910736.29
46,1,-36.93716,174.728495,1753927.6900000002,5910703.119999999
46,1,-36.935139,174.730154,1754079.51,5910924.68
46,1,-36.937302,174.728781,1753952.86,5910686.930000001
46,1,-36.937828,174.728843,1753957.3900000001,5910628.48
46,1,-36.937763,174.729173,1753986.83,5910635.1
46,1,-36.938309,174.72933,1753999.73,5910574.24
46,1,-36.937019,174.730821,1754135.1800000002,5910715.02
46,1,-36.937462,174.73036,1754093.1500000001,5910666.6
46,1,-36.937374,174.730987,1754149.23,5910675.39
9,1,-36.937426,174.73082,1754134.21,5910669.89
9,1,-36.937127,174.730517,1754107.86,5910703.470000001
9,1,-36.935483,174.730457,1754105.82,5910886.01
46,1,-36.93567,174.730533,1754112.1700000002,5910865.109999999
9,1,-36.935838,174.730877,1754142.47,5910845.92
9,1,-36.935929,174.730971,1754150.6700000002,5910835.63
46,1,-36.938838,174.729478,1754011.8800000001,5910515.31
46,1,-36.938667,174.729752,1754036.6400000001,5910533.94
46,1,-36.938038,174.730215,1754079.1,5910602.88
46,1,-36.938443,174.730014,1754060.37,5910558.319999999
46,1,-36.938129000000004,174.730767,1754128.1,5910591.970000001
46,1,-36.938246,174.7311,1754157.52,5910578.430000001
46,1,-36.93798,174.731263,1754172.55,5910607.64
46,1,-36.937914,174.731615,1754204.09,5910614.41
46,1,-36.937708,174.73221,1754257.46,5910636.28
46,1,-36.937411,174.731507,1754195.44,5910670.359999999
46,1,-36.937163,174.73205,1754244.33,5910697.03
46,1,-36.936536,174.731553,1754201.32,5910767.359999999
46,1,-36.936565,174.732436,1754279.85,5910762.7
46,1,-36.936638,174.732323,1754269.6900000002,5910754.87
9,1,-36.936324,174.732259,1754264.61,5910789.8
46,1,-36.935564,174.73165,1754211.94,5910875.1
46,1,-36.935543,174.731851,1754229.84,5910877.03
9,1,-36.935666,174.731449,1754193.77,5910864.109999999
225,1,-36.93576,174.732779,1754312.04,5910851.48
225,1,-36.935302,174.732983,1754331.1600000001,5910902.03
46,1,-36.934996,174.731776,1754224.26,5910937.92
225,1,-36.934504,174.731541,1754204.33,5910992.88
46,1,-36.790561,174.708541,1752441.61,5926999.49
46,1,-36.78974,174.706462,1752257.76,5927093.930000001
46,1,-36.793308,174.682286,1750093.57,5926736.33
225,1,-36.793374,174.682838,1750142.6400000001,5926728.109999999
46,1,-36.793297,174.697146,1751419.46,5926714.05
46,1,-36.794769,174.727113,1754090.3800000001,5926502.91
46,1,-36.795207,174.7193,1753392.41,5926466.930000001
46,1,-36.79602,174.695204,1751240.82,5926415.07
46,1,-36.795191,174.695604,1751278.12,5926506.35
46,1,-36.795667,174.681629,1750030.34,5926475.659999999
46,1,-36.796352,174.681541,1750021.08,5926399.72
9,1,-36.796229,174.681686,1750034.31,5926413.22
46,1,-36.79841,174.682816,1750130.8900000001,5926169.38
225,1,-36.798524,174.683219,1750166.61,5926156.149999999
46,1,-36.798162,174.685023,1750328.27,5926193.45
46,1,-36.799016,174.684674,1750295.46,5926099.26
46,1,-36.798459,174.693671,1751099.26,5926146.89
46,1,-36.799542,174.706418,1752234.43,5926006.5
225,1,-36.800549,174.6969,1751383.27,5925909.930000001
46,1,-36.800161,174.688135,1750601.95,5925966.81
46,1,-36.800856,174.685505,1750365.94,5925893.79
225,1,-36.800944,174.68591,1750401.93,5925883.470000001
46,1,-36.800858,174.68608,1750417.27,5925892.73
46,1,-36.800861,174.686353,1750441.61,5925891.930000001
46,1,-36.800902,174.685313,1750348.74,5925889.02
46,1,-36.799856,174.684943,1750317.79,5926005.71
46,1,-36.799917,174.684793,1750304.29,5925999.09
46,1,-36.80246,174.688399,1750621,5925711.33
46,1,-36.80347,174.710684,1752607.23,5925563.96
46,1,-36.804766,174.737016,1754953.83,5925377.8
46,1,-36.804495,174.728276,1754174.6300000001,5925421.98
46,1,-36.806868,174.722359,1753642.02,5925168.25
225,1,-36.80671,174.721593,1753574.02,5925187.03
46,1,-36.805014,174.70788,1752354.03,5925397.109999999
46,1,-36.805812,174.705451,1752135.74,5925312.44
9,1,-36.805775,174.705341,1752125.95,5925316.68
46,1,-36.807004,174.698849,1751544.4,5925190.73
46,1,-36.805897,174.695028,1751205.73,5925319.59
46,1,-36.806573,174.690725,1750820.5,5925251.319999999
46,1,-36.805192,174.687207,1750509.35,5925410.07
1.1,1,-36.805819,174.686945,1750484.74,5925341.02
225,1,-36.805694,174.6868,1750472.04,5925355.04
